Vertical Position [m],Corrected sp Cond [uS/cm]
7.973,7425.1
7.974,7441.05
7.977,7450.1
7.98,7452.0
7.982,7427.0
7.983,7456.4
7.987,7431.3
7.989,7434.0
7.993,7461.0
7.994,7468.25
8.005,7476.4
8.01,7484.55
8.017,7489.9
8.03,7495.2
8.033,7500.9
8.036,7506.6
8.048,7512.4
8.05,7524.9
8.051,7518.6
8.063,7531.3
8.068,7539.5
8.079,7548.0
8.085,7555.1
8.087,7562.6
8.099,7570.2
8.105,7577.8
8.106,7585.5
8.111,7593.0
8.124,7596.9
8.129,7605.0
8.133,7613.9
8.142,7623.2
8.147,7632.7
8.148,7642.2
8.162,7651.5
8.167,7661.2
8.168,7670.9
8.179,7675.7
8.186,7685.5
8.191,7694.9
8.2,7704.2
8.205,7713.6
8.206,7723.1
8.207,7732.7
8.222,7742.4
8.225,7747.4
8.229,7756.9
8.237,7765.7
8.242,7778.950000000001
8.251,7793.8
8.256,7804.2
8.26,7813.7
8.264,7818.3
8.273,7827.7
8.276,7837.0
8.278,7846.0
8.287,7854.2
8.292,7863.3
8.295,7872.5
8.302,7882.1
8.307,7894.1
8.316,7905.8
8.322,7915.4
8.324,7925.5
8.329,7935.4
8.343,7945.3
8.348,7956.0
8.358,7967.9
8.365,7973.8
8.371,7985.4
8.374,7997.4
8.389,8010.0
8.396,8022.3
8.399,8034.8
8.412,8413.0
8.416,8436.5
8.42,8442.4
8.425,8446.4
8.437,8478.650000000001
8.441,8498.7
8.453,8519.4
8.456,8521.099999999999
8.463,8531.5
8.466,8543.0
8.475,8547.0
8.48,8561.5
8.481,8552.5
8.485,8570.2
8.498,8580.0
8.502,8590.1
8.507,8593.3
8.517,8599.8
8.52,8605.1
8.521,8609.8
8.535,8614.5
8.54,8618.1
8.542,8621.9
8.553,8624.7
8.558,8628.2
8.567,8630.5
8.573,8632.6
8.579,8635.8
8.583,8640.3
8.593,8644.5
8.598,8648.9
8.604,8654.2
8.617,8659.8
8.622,8662.6
8.625,8667.9
8.639,8673.5
8.646,8678.8
8.648,8683.8
8.66,8688.4
8.666,8694.7
8.671,8698.4
8.683,8701.6
8.686,8704.4
8.688,8707.2
8.7,8710.0
8.704,8714.15
8.713,8718.1
8.717,8720.599999999999
8.725,8724.1
8.73,8726.3
8.734,8728.5
8.738,8730.8
8.751,8733.3
8.754,8736.0
8.759,8737.4
8.77,8740.1
8.772,8745.6
8.773,8742.9
8.782,8750.0
8.789,8755.9
8.79,8761.6
8.802,8766.8
8.807,8769.3
8.81,8774.1
8.815,8779.1
8.831,8784.3
8.836,8790.0
8.844,8796.0
8.862,8802.3
8.867,8808.6
8.871,8814.7
8.881,8817.9
8.886,8824.0
8.888,8830.5
8.902,8837.0
8.909,8843.1
8.913,8848.6
8.924,8854.1
8.931,8859.6
8.935,8862.1
8.94,8866.9
8.952,8871.6
8.956,8876.2
8.962,8880.7
8.973,8885.4
8.979,8890.1
8.984,8894.7
8.993,8899.4
8.998,8904.05
9.009,8911.3
9.015,8919.25
9.022,8927.9
9.037,8934.1
9.041,8940.6
9.046,8943.9
9.058,8950.7
9.065,8957.7
9.067,8964.8
9.079,8971.9
9.084,8979.0
9.085,8985.8
9.096,8992.3
9.102,8995.5
9.108,9001.9
9.115,9008.8
9.132,9015.8
9.138,9022.8
9.144,9029.8
9.161,9036.9
9.166,9043.9
9.167,9051.0
9.182,9055.0
9.189,9063.5
9.19,9072.5
9.201,9081.0
9.208,9089.2
9.212,9096.8
9.217,9104.3
9.229,9111.5
9.233,9115.1
9.238,9122.5
9.25,9130.4
9.256,9139.4
9.263,9148.8
9.275,9158.3
9.282,9172.7
9.293,9186.8
9.297,9200.7
9.298,9191.3
9.307,9210.2
9.314,9219.9
9.315,9230.4
9.321,9241.7
9.335,9253.7
9.339,9265.8
9.343,9271.9
9.351,9284.3
9.357,9297.0
9.359,9310.4
9.374,9324.5
9.38,9339.0
9.385,9353.2
9.397,9367.1
9.403,9374.0
9.407,9387.7
9.416,9855.7
9.419,9916.6
9.423,10008.3
9.428,10012.4
9.437,10112.9
9.442,10115.05
9.453,10124.1
